audio_id,source_csv,local_audio_path,input_file_path,model,common_name,scientific_name,confidence,start_time,end_time
4_2MM06988_20250408_020500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250408_020500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250408_020500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250408_020500.wav,birdnet,Yellowish-bellied Bush Warbler,Horornis acanthizoides,0.9980512857437134,45.0,48.0
4_2MM06988_20250408_065000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250408_065000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250408_065000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250408_065000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.999778687953949,33.0,36.0
4_2MM06988_20250408_065000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250408_065000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250408_065000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250408_065000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9996564388275146,48.0,51.0
4_2MM06988_20250408_070000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250408_070000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250408_070000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250408_070000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9997084736824036,3.0,6.0
4_2MM06988_20250408_070000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250408_070000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250408_070000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250408_070000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9989670515060425,6.0,9.0
4_2MM06988_20250408_070000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250408_070000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250408_070000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250408_070000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9991438388824463,51.0,54.0
4_2MM06988_20250408_073500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250408_073500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250408_073500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250408_073500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9980752468109131,15.0,18.0
4_2MM06988_20250408_073500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250408_073500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250408_073500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250408_073500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9993435740470886,27.0,30.0
4_2MM06988_20250408_135000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250408_135000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250408_135000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250408_135000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9981147050857544,3.0,6.0
4_2MM06988_20250408_135500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250408_135500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250408_135500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250408_135500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9998300075531006,30.0,33.0
4_2MM06988_20250409_081500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250409_081500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250409_081500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250409_081500.wav,birdnet,Toco Toucan,Ramphastos toco,0.9982476234436035,45.0,48.0
4_2MM06988_20250409_155500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250409_155500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250409_155500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250409_155500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9990003705024719,3.0,6.0
4_2MM06988_20250409_155500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250409_155500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250409_155500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250409_155500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9996345043182373,9.0,12.0
4_2MM06988_20250409_160000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250409_160000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250409_160000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250409_160000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9994509816169739,18.0,21.0
4_2MM06988_20250409_160000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250409_160000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250409_160000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250409_160000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9987115859985352,45.0,48.0
4_2MM06988_20250409_162000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250409_162000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250409_162000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250409_162000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9990577101707458,0.0,3.0
4_2MM06988_20250409_162000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250409_162000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250409_162000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250409_162000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9990942478179932,12.0,15.0
4_2MM06988_20250409_162000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250409_162000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250409_162000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250409_162000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9982534050941467,51.0,54.0
4_2MM06988_20250409_163000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250409_163000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250409_163000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250409_163000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9993064403533936,3.0,6.0
4_2MM06988_20250409_163000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250409_163000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250409_163000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250409_163000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9993807077407837,21.0,24.0
